ms,speed,elevation,temperature,cadence,power,distance,positionLat,positionLong
85.0,7.278,284.0,816.0,34.0,75.0,743.3,44.55656,6.48312
86.0,7.25,110.0,815.6,34.0,86.0,750.62,44.55663,6.48313
88.0,6.942,155.0,815.4,34.0,86.0,757.92,44.55669,6.48314
88.0,6.746,155.0,815.4,34.0,88.0,764.95,44.55676,6.48316
89.0,6.27,170.0,815.4,34.0,83.0,771.62,44.55681,6.48318
89.0,6.065,248.0,815.4,34.0,80.0,778.06,44.55687,6.4832
89.0,6.093,233.0,815.2,34.0,78.0,784.27,44.55692,6.48322
89.0,5.449,169.0,815.2,34.0,74.0,790.14,44.55697,6.48324
89.0,5.477,140.0,815.2,34.0,76.0,795.78,44.55702,6.48327
88.0,5.384,177.0,815.2,34.0,77.0,801.24,44.55706,6.4833
88.0,5.216,139.0,815.4,34.0,76.0,806.54,44.55711,6.48333
89.0,5.011,204.0,815.4,34.0,73.0,811.52,44.55715,6.48335
90.0,4.731,261.0,815.6,34.0,71.0,816.3,44.55719,6.48339
90.0,4.768,222.0,816.2,34.0,70.0,821.1,44.55722,6.48342
92.0,4.647,192.0,816.6,34.0,69.0,825.85,44.55726,6.48344
93.0,4.637,224.0,817.0,34.0,67.0,830.67,44.5573,6.48347
93.0,4.609,271.0,817.2,34.0,74.0,835.36,44.55733,6.4835
94.0,4.768,282.0,817.6,34.0,76.0,840.12,44.55737,6.48353
95.0,4.833,251.0,817.6,34.0,77.0,845.06,44.55741,6.48357
95.0,4.927,316.0,817.6,34.0,78.0,849.98,44.55744,6.48361
96.0,4.927,276.0,817.8,34.0,79.0,854.97,44.55748,6.48364
96.0,4.871,313.0,818.0,34.0,78.0,859.96,44.55751,6.48368
97.0,4.833,315.0,818.2,34.0,79.0,864.81,44.55755,6.48372
99.0,4.88,316.0,818.4,34.0,79.0,869.73,44.55759,6.48375
100.0,4.88,316.0,818.8,34.0,80.0,874.66,44.55762,6.48379
100.0,5.048,297.0,819.2,34.0,80.0,879.81,44.55766,6.48382
101.0,5.113,318.0,819.6,34.0,82.0,884.94,44.5577,6.48386
103.0,5.235,320.0,819.8,34.0,83.0,890.16,44.55774,6.4839
103.0,5.151,262.0,820.2,34.0,83.0,895.36,44.55778,6.48393
104.0,5.076,242.0,820.4,34.0,80.0,900.5,44.55782,6.48397
104.0,4.628,200.0,820.6,34.0,73.0,905.35,44.55785,6.484
105.0,4.936,264.0,820.6,34.0,73.0,910.24,44.55789,6.48404
105.0,4.973,280.0,821.2,34.0,74.0,915.23,44.55793,6.48407
105.0,4.973,247.0,821.6,34.0,73.0,920.34,44.55797,6.48409
105.0,4.955,195.0,821.8,34.0,79.0,925.36,44.55801,6.48412
105.0,4.861,198.0,822.2,34.0,79.0,930.26,44.55805,6.48415
105.0,4.908,208.0,822.4,34.0,78.0,935.17,44.55809,6.48418
105.0,5.104,243.0,822.6,34.0,78.0,940.29,44.55813,6.4842
105.0,5.001,257.0,822.8,34.0,78.0,945.49,44.55818,6.48422
106.0,4.824,266.0,823.0,34.0,78.0,950.45,44.55822,6.48424
106.0,4.768,278.0,823.2,34.0,77.0,955.43,44.55827,6.48425
106.0,4.843,266.0,823.4,34.0,77.0,960.42,44.55831,6.48427
106.0,4.637,204.0,823.6,35.0,76.0,965.3,44.55835,6.48428
106.0,4.675,295.0,824.0,35.0,75.0,970.11,44.55839,6.48429
107.0,4.637,345.0,824.2,35.0,77.0,974.78,44.55843,6.48431
106.0,4.815,339.0,824.4,35.0,79.0,979.72,44.55848,6.48432
107.0,5.001,323.0,824.8,35.0,82.0,984.73,44.55852,6.48433
107.0,4.936,259.0,825.0,35.0,82.0,989.82,44.55857,6.48434
108.0,5.076,274.0,825.2,35.0,81.0,994.92,44.55861,6.48435
109.0,5.085,267.0,825.4,35.0,80.0,999.84,44.55865,6.48436
109.0,4.908,265.0,825.6,35.0,95.0,1004.83,44.5587,6.48438
110.0,5.095,327.0,826.0,35.0,102.0,1009.83,44.55875,6.48439
110.0,5.179,299.0,826.2,35.0,103.0,1015.05,44.55879,6.48441
110.0,5.067,246.0,826.4,35.0,101.0,1020.18,44.55883,6.48442
110.0,4.917,245.0,826.8,35.0,98.0,1025.25,44.55888,6.48445
110.0,4.74,222.0,827.0,35.0,96.0,1030.07,44.55891,6.48447
111.0,4.6,268.0,827.2,35.0,94.0,1034.78,44.55895,6.4845
111.0,4.525,304.0,827.6,35.0,94.0,1039.28,44.55899,6.48453
111.0,4.535,306.0,828.0,35.0,94.0,1043.88,44.55902,6.48456
112.0,4.6,297.0,828.2,35.0,94.0,1048.46,44.55906,6.48459
112.0,4.665,334.0,828.4,35.0,95.0,1053.2,44.55909,6.48463
112.0,4.731,288.0,828.8,35.0,96.0,1057.96,44.55913,6.48466
113.0,4.759,347.0,829.0,35.0,98.0,1062.75,44.55916,6.4847
113.0,4.899,355.0,829.0,35.0,103.0,1067.64,44.55919,6.48474
